"index","citeTld","refTld","citeTld_pc","refTld_pc"
"ac",1481,1321,0.0149892337627177,0.0939643049451116
"ad",461,4,0.00466579119825311,0.000284524768948105
"ae",2351,34,0.0237945230088787,0.00241846053605889
"aero",706,15,0.00714544161814902,0.00106696788355539
"af",296,2,0.00299582254811913,0.000142262384474052
"ag",472,39,0.00477712244159538,0.00277411649724402
"al",1101,44,0.0111432453563485,0.00312977245842915
"alsace",16,1,0.000161936353952386,7.11311922370262e-05
"am",6355,111,0.0643190955854632,0.00789556233830991
"amsterdam",31,1,0.000313751685782747,7.11311922370262e-05
"ao",388,12,0.00392695658334535,0.000853574306844314
"aq",163,4,0.00164972660588993,0.000284524768948105
"ar",21673,725,0.219352912450628,0.051570114371844
"asia",1513,65,0.0153131064706225,0.0046235274954067
"at",37658,1126,0.381137451071184,0.0800937224588915
"au",100911,3368,1.02132246335557,0.239569855454304
"ax",168,36,0.00170033171650005,0.00256072292053294
"az",4247,23,0.0429839809522364,0.0016360174214516
"ba",1431,10,0.0144831826566165,0.000711311922370262
"bb",68,2,0.000688229504297639,0.000142262384474052
"bd",1133,4,0.0114671180642533,0.000284524768948105
"be",36006,1012,0.3644175225256,0.0719847665438705
"bf",182,3,0.00184202602620839,0.000213393576711079
"bg",9308,126,0.0942064739118004,0.0089625302218653
"bh",290,1,0.00293509641538699,7.11311922370262e-05
"bi",85,1,0.000860286880372049,7.11311922370262e-05
"biz",4513,54,0.0456761728366948,0.00384108438079942
"blog",14,1,0.000141694309708337,7.11311922370262e-05
"bn",259,8,0.00262134472960424,0.00056904953789621
"bo",584,8,0.00591067691926208,0.00056904953789621
"br",75360,3777,0.762720227115736,0.268662513079248
"brussels",3,1,3.03630663660723e-05,7.11311922370262e-05
"bs",121,2,0.00122464367676492,0.000142262384474052
"bt",231,2,0.00233795611018757,0.000142262384474052
"bw",380,3,0.00384598840636916,0.000213393576711079
"by",6911,224,0.0699463838853086,0.0159333870610939
"bz",181,13,0.00183190500408636,0.000924705499081341
"bzh",66,13,0.000667987460053591,0.000924705499081341
"ca",95906,5792,0.970666747634844,0.411991865436856
"cab",4,3,4.04840884880964e-05,0.000213393576711079
"cat",22976,464,0.232540604275626,0.0330048731979802
"cc",2492,46,0.0252215871280841,0.00327203484290321
"cd",115,1,0.00116391754403277,7.11311922370262e-05
"cg",12,2,0.000121452265464289,0.000142262384474052
"ch",45981,2635,0.46537471819279,0.187430691544564
"ci",160,2,0.00161936353952386,0.000142262384474052
"ck",73,1,0.00073883461490776,7.11311922370262e-05
"cl",8500,109,0.0860286880372049,0.00775329995383586
"club",134,20,0.00135621696435123,0.00142262384474052
"cm",113,17,0.00114367549978872,0.00120923026802945
"cn",28239,342,0.285807543703839,0.024326867745063
"co",5687,64,0.0575582528079511,0.00455239630316968
"com",4243088,355337,42.944387513695,25.2755444559282
"coop",309,2,0.00312739583570545,0.000142262384474052
"corsica",13,1,0.000131573287586313,7.11311922370262e-05
"cr",693,6,0.0070138683305627,0.000426787153422157
"cu",2247,26,0.0227419367081882,0.00184941099816268
"cv",301,7,0.00304642765872926,0.000497918345659183
"cx",125,3,0.00126512776525301,0.000213393576711079
"cy",1239,157,0.0125399464091879,0.0111675971812131
"cz",87100,80354,0.881541026828299,5.715675821014
"de",418510,70964,4.23574896828831,5.04775392590833
"dj",123,11,0.00124488572100896,0.000782443114607288
"dk",27909,1826,0.282467606403571,0.12988555702481
"do",680,14,0.00688229504297639,0.000995836691318367
"dz",454,8,0.00459494404339894,0.00056904953789621
"ec",1597,6,0.0161632723288725,0.000426787153422157
"edu",254773,4265,2.57856316909445,0.303374534890917
"ee",17836,4609,0.180518550568422,0.327843665020454
"eg",3561,32,0.0360409597765278,0.00227619815158484
"es",79386,4339,0.803467462179005,0.308638243116457
"et",267,2,0.00270231290658044,0.000142262384474052
"eu",39064,9668,0.39536760817475,0.687696366547569
"eus",1358,35,0.0137443480417087,0.00248959172829592
"fi",68300,4478,0.691265810934246,0.318525478837403
"film",67,2,0.000678108482175615,0.000142262384474052
"fj",299,4,0.00302618561448521,0.000284524768948105
"fm",1822,172,0.0184405023063279,0.0122345650647685
"fo",1329,21,0.01345083840017,0.00149375503697755
"fr",332017,411742,3.36035140188808,29.2876993540576
"ga",71,2,0.000718592570663711,0.000142262384474052
"gal",243,2,0.00245940837565186,0.000142262384474052
"ge",2391,28,0.0241993638937596,0.00199167338263673
"gg",36,1,0.000364356796392868,7.11311922370262e-05
"gh",417,17,0.00422046622488405,0.00120923026802945
"gi",219,5,0.00221650384472328,0.000355655961185131
"gl",467,13,0.00472651733098526,0.000924705499081341
"gm",170,3,0.0017205737607441,0.000213393576711079
"gov",350258,57745,3.54496896641592,4.10747069572708
"gr",17856,226,0.180720971010862,0.0160756494455679
"gs",42,1,0.000425082929125012,7.11311922370262e-05
"gt",340,2,0.00344114752148819,0.000142262384474052
"gy",169,1,0.00171045273862207,7.11311922370262e-05
"hk",8591,48,0.0869497010503091,0.00341429722737726
"hm",5,5,5.06051106101205e-05,0.000355655961185131
"hn",823,12,0.00832960120642584,0.000853574306844314
"hr",14150,270,0.143212463026641,0.0192054219039971
"hu",85251,14987,0.862827256924677,1.06604317805631
"id",3490,272,0.0353223672058641,0.0193476842884711
"ie",16925,368,0.171298299415258,0.0261762787432256
"il",15338,3308,0.155236237307606,0.235301983920083
"im",373,27,0.00377514125151499,0.00192054219039971
"in",29211,2727,0.295645177206446,0.19397476123037
"info",42816,1355,0.433341683176584,0.0963827654811705
"ink",4,6,4.04840884880964e-05,0.000426787153422157
"int",21729,694,0.219919689689462,0.0493650474124962
"io",1885,99,0.0190781267000154,0.00704198803146559
"ir",12766,106,0.12920496840976,0.00753990637712478
"is",17309,167,0.175184771910115,0.0118789091035834
"istanbul",4,1,4.04840884880964e-05,7.11311922370262e-05
"it",171523,12684,1.73598807743594,0.90222804233444
"je",395,4,0.00399780373819952,0.000284524768948105
"jm",186,2,0.00188251011469648,0.000142262384474052
"jp",205119,8013,2.07601393664746,0.569974243395291
"ke",857,34,0.00867371595857466,0.00241846053605889
"kg",409,5,0.00413949804790786,0.000355655961185131
"kh",592,4,0.00599164509623827,0.000284524768948105
"koeln",1,6,1.01210221220241e-05,0.000426787153422157
"kr",20966,162,0.212197349810357,0.0115232531423982
"kw",713,4,0.00721628877300319,0.000284524768948105
"kz",3473,57,0.0351503098297897,0.00405447795751049
"la",183,3,0.00185214704833041,0.000213393576711079
"lb",1210,12,0.0122464367676492,0.000853574306844314
"li",635,4,0.0064268490474853,0.000284524768948105
"lk",1722,20,0.0174284000941255,0.00142262384474052
"london",14,1,0.000141694309708337,7.11311922370262e-05
"ls",114,1,0.00115379652191075,7.11311922370262e-05
"lt",5943,66,0.0601492344711892,0.00469465868764373
"lu",2579,55,0.0261021160527002,0.00391221557303644
"lv",8533,225,0.0863626817672317,0.0160045182533309
"ly",235,1,0.00237844019867566,7.11311922370262e-05
"ma",2241,3488,0.022681210575456,0.248105598522747
"mc",743,4,0.00751991943666391,0.000284524768948105
"md",1827,95,0.018491107416938,0.00675746326251749
"me",2759,102,0.0279239000346645,0.00725538160817667
"media",112,2,0.0011335544776667,0.000142262384474052
"mg",207,1,0.00209505157925899,7.11311922370262e-05
"mil",6372,130,0.0644911529615376,0.00924705499081341
"mk",2227,11,0.0225395162657477,0.000782443114607288
"ml",170,1,0.0017205737607441,7.11311922370262e-05
"mm",88,2,0.000890649946738121,0.000142262384474052
"mn",611,5,0.00618394451655673,0.000355655961185131
"mo",566,10,0.00572849852106564,0.000711311922370262
"mobi",237,7,0.00239868224291971,0.000497918345659183
"ms",194,218,0.00196347829167268,0.0155065999076717
"mt",1752,435,0.0177320307577862,0.0309420686231064
"mu",7199,7,0.0728612382564515,0.000497918345659183
"museum",702,38,0.00710495752966092,0.002702985305007
"mv",216,2,0.00218614077835721,0.000142262384474052
"mx",22195,1400,0.224636085998325,0.0995836691318367
"my",5188,82,0.052507862769061,0.00583275776343615
"mz",587,63,0.00594103998562815,0.00448126511093265
"na",537,12,0.00543498887952694,0.000853574306844314
"name",502,5,0.0050807531052561,0.000355655961185131
"net",230126,4946,2.32911033685292,0.351814876804332
"news",131,1,0.00132585389798516,7.11311922370262e-05
"ng",727,16,0.00735798308271152,0.00113809907579242
"ngo",11,1,0.000111331243342265,7.11311922370262e-05
"ni",762,10,0.00771221885698237,0.000711311922370262
"nl",72759,10139,0.736395448576352,0.721199158091209
"no",49654,4895,0.502549232446985,0.348187186000243
"np",2013,274,0.0203736175316345,0.0194899466729452
"nr",21,1,0.000212541464562506,7.11311922370262e-05
"nrw",57,10,0.000576898260955374,0.000711311922370262
"nu",2104,70,0.0212946305447387,0.00497918345659183
"nyc",22,1,0.00022266248668453,7.11311922370262e-05
"nz",18919,396,0.191479617526574,0.0281679521258624
"org",1066615,229414,10.7952340106827,16.3184913358651
"pa",512,7,0.00518196332647634,0.000497918345659183
"pe",3917,29,0.0396440436519684,0.00206280457487376
"pf",232,7,0.00234807713230959,0.000497918345659183
"pg",221,3,0.00223674588896733,0.000213393576711079
"ph",14273,6733,0.14445734874765,0.478926317331897
"pictet",6,2,6.07261327321446e-05,0.000142262384474052
"pk",4842,65,0.0490059891148407,0.0046235274954067
"pl",68611,14265,0.694413448814196,1.01468645726118
"pr",220,3,0.0022266248668453,0.000213393576711079
"press",81,6,0.000819802791883952,0.000426787153422157
"pro",222,6,0.00224686691108935,0.000426787153422157
"ps",790,28,0.00799560747639904,0.00199167338263673
"pt",19575,445,0.198119008038622,0.0316533805454767
"pw",27,7,0.000273267597294651,0.000497918345659183
"py",735,53,0.00743895125968772,0.00376995318856239
"qa",429,2,0.00434191849034834,0.000142262384474052
"re",162,5,0.0016396055837679,0.000355655961185131
"ro",37034,6437,0.374821933267041,0.457871484429738
"rocks",15,2,0.000151815331830362,0.000142262384474052
"rs",9850,235,0.0996920679019374,0.0167158301757012
"ru",197783,1959,2.00176611836029,0.139346005592334
"ruhr",12,1,0.000121452265464289,7.11311922370262e-05
"rw",102,1,0.00103234425644646,7.11311922370262e-05
"sa",1548,37,0.0156673422448933,0.00263185411276997
"scot",225,11,0.00227722997745542,0.000782443114607288
"se",83230,5519,0.842372671216066,0.392573049956148
"sg",4431,17,0.0448462490226888,0.00120923026802945
"si",5237,144,0.0530037928530402,0.0102428916821318
"sk",6396,106,0.0647340574924662,0.00753990637712478
"sm",312,13,0.00315775890207152,0.000924705499081341
"sn",341,5,0.00345126854361022,0.000355655961185131
"so",19,27,0.000192299420318458,0.00192054219039971
"solutions",9,2,9.10891990982169e-05,0.000142262384474052
"sr",53,1,0.000536414172467277,7.11311922370262e-05
"su",1606,200,0.0162543615279707,0.0142262384474052
"sv",613,1,0.00620418656080078,7.11311922370262e-05
"sx",23,2,0.000232783508806554,0.000142262384474052
"sy",495,20,0.00500990595040193,0.00142262384474052
"sz",119,6,0.00120440163252087,0.000426787153422157
"taipei",32,5,0.000323872707904771,0.000355655961185131
"th",21925,6860,0.221903410025378,0.487959978746
"tj",360,1,0.00364356796392868,7.11311922370262e-05
"tk",392,9,0.00396744067183345,0.000640180730133236
"tl",337,3,0.00341078445512212,0.000213393576711079
"tn",1159,27,0.0117302646394259,0.00192054219039971
"to",641,69,0.00648757518021745,0.00490805226435481
"today",376,2,0.00380550431788106,0.000142262384474052
"tr",16623,193,0.168241750734407,0.0137283201017461
"travel",608,6,0.00615358145019066,0.000426787153422157
"tt",367,3,0.00371441511878285,0.000213393576711079
"tv",17622,444,0.178352651834309,0.0315822493532396
"tw",14296,260,0.144690132256457,0.0184941099816268
"tz",409,10,0.00413949804790786,0.000711311922370262
"ua",30018,612,0.30381284205892,0.04353228964906
"ug",877,16,0.00887613640101514,0.00113809907579242
"uk",553287,29134,5.59982996682835,2.07233615463352
"us",28502,81,0.288469372521931,0.00576162657119912
"uy",3981,61,0.040291789067778,0.0043390027264586
"uz",785,8,0.00794500236578892,0.00056904953789621
"va",8796,59,0.089024510585324,0.00419674034198455
"vc",38,1,0.000384598840636916,7.11311922370262e-05
"ve",2068,14,0.0209302737483458,0.000995836691318367
"vn",6010,17,0.0608273429533649,0.00120923026802945
"vu",126,2,0.00127524878737504,0.000142262384474052
"wales",224,193,0.0022671089553334,0.0137283201017461
"website",7,1,7.08471548541687e-05,7.11311922370262e-05
"wf",3,1,3.03630663660723e-05,7.11311922370262e-05
"ws",1513,80,0.0153131064706225,0.0056904953789621
"xyz",68,3,0.000688229504297639,0.000213393576711079
"ye",31,3,0.000313751685782747,0.000213393576711079
"za",13897,1301,0.140651844429769,0.0925416811003711
"zm",180,8,0.00182178398196434,0.00056904953789621
"zone",44,1,0.000445324973369061,7.11311922370262e-05
"zw",222,4,0.00224686691108935,0.000284524768948105
"рф",324,8,0.00327921116753581,0.00056904953789621
"հայ",98,1,0.000991860167958362,7.11311922370262e-05
